SMI,signal
66.7218012550924,64.522211206149
67.8440957423441,65.186588113388
69.8592480221049,66.1211200951314
70.4232040548536,66.9815368870758
70.6607422912574,67.7173779679121
72.0279088056383,68.5794841354574
73.3416135025754,69.531910008881
73.5861053599088,70.3427490790866
73.9954091367402,71.0732810906173
73.5593181549792,71.5704885034897
72.9084309421685,71.8380769912254
73.389721766819,72.1484059463442
73.6817939475079,72.4550835465769
74.0030176591252,72.7646703690866
72.9651709075756,72.8047704767844
72.5206168765155,72.7479397567306
72.7602409580223,72.7503999969889
73.2249611579893,72.845312229189
74.1053122742678,73.0973122382048
73.3293571824835,73.1437212270605
72.4815495181374,73.0112868852759
69.4381560899249,72.2966607262057
60.7161299204049,69.9805545650455
55.5293861725548,67.0903208865474
49.7730963706198,63.6268759833619
47.5020540003432,60.4019115867582
47.2624314754553,57.7740155644976
49.9130623915921,56.2018249299165
51.6745596018342,55.2963718643
55.2211106000024,55.2813196114405
58.09337254242,55.8437301976364
60.3440704063144,56.743798239372
60.999382667837,57.594915125065
61.1627788545163,58.3084878709553
57.9451326132366,58.2358168194116
52.0233810809586,56.993329671721
44.4957476860364,54.4938132745841
40.3026428605367,51.6555791917746
36.6272235564877,48.6499080647172
34.2692435224157,45.7737751562569
32.8334850459795,43.1857171342014
33.1136825190476,41.1713102111707
31.0578536819776,39.1486189053321
26.9340958525388,36.7057142947734
24.7699340305634,34.3185582419314
25.9843286603747,32.6517123256201
27.6622339030368,31.6538166411034
30.5570451604365,31.43446234497
34.4595308030858,32.0394760365932
37.9013090961482,33.2118426485042
42.0889065707427,34.9872554329519
46.3777453595446,37.2653534182704
51.2190054075351,40.0560838161234
55.2647580150144,43.0978186559016
58.2532146046602,46.1288978456533
61.2787705174024,49.1588723800031
64.4410389665699,52.2153056973165
67.4461275097841,55.26147005981
68.4386769137978,57.8969114306076
67.7887279848382,59.8752747414537
65.7201905539566,61.0442579039543
64.156581381641,61.6667225994916
63.5812213487156,62.0496223493364
63.8018530683252,62.4000684931342
65.1190760479069,62.9438700040887
66.6167276411097,63.6784415314929
66.9648695091846,64.3357271270312
67.8176923065517,65.0321201629353
67.2780433250541,65.4813047953591
68.6137586176997,66.1077955598272
70.0947064773657,66.9051777433349
62.2732388908056,65.978789972829
57.290342825667,64.2411005433966
51.663271379132,61.7255347105437
47.7892839743156,58.9382845632981
43.753452481628,55.9013181469641
41.4972863786119,53.0205117932936
43.1888722692541,51.0541838884857
45.8762583428656,50.0185987793617
46.2070882378117,49.2562966710517
48.0243827034731,49.009913877536
51.1508456703867,49.4381002361061
55.7974721559239,50.7099746200697
60.2784174513778,52.6236631863313
